Frequency,Amplitude
1,5.97E-03
2,7.75E-06
3,4.88E-06
4,4.43E-06
5,3.47E-05
6,5.48E-04
7,4.40E-04
8,6.31E-05
9,3.81E-04
10,2.55E-03
11,1.75E-03
12,6.44E-04
13,3.41E-03
14,3.22E-03
15,3.99E-04
16,1.55E-04
17,9.96E-04
18,2.25E-03
19,2.85E-03
20,1.94E-02
21,3.13E-01
22,4.19E-01
23,3.94E-02
24,1.73E-03
25,9.95E-04
26,3.61E-04
27,5.24E-04
28,1.69E-03
29,2.16E-03
30,6.79E-03
31,4.79E-02
32,9.10E-02
33,6.96E-02
34,2.28E-02
35,8.02E-03
36,3.91E-03
37,2.73E-03
38,1.66E-03
39,1.30E-03
40,4.98E-03
41,1.47E-02
42,6.41E-02
43,4.23E-02
44,7.35E-03
45,2.38E-03
46,8.79E-03
47,3.75E-02
48,5.19E-02
49,1.84E-02
50,4.71E-03
51,1.39E-03
52,6.81E-04
53,7.02E-04
54,1.01E-03
55,1.95E-03
56,2.04E-03
57,1.82E-03
58,1.19E-03
59,5.08E-04
60,6.97E-04
61,5.63E-04
62,4.54E-04
63,1.39E-04
64,1.75E-04
65,3.20E-04
66,7.06E-05
67,4.66E-06
68,1.69E-05
69,3.63E-05
70,4.87E-05
71,2.56E-05
72,4.00E-05
73,5.48E-05
74,5.26E-05
75,5.03E-05
76,5.73E-05
77,6.32E-05
78,1.32E-04
79,2.33E-04
80,1.16E-04
81,7.61E-05
82,1.24E-04
83,2.51E-04
84,2.75E-04
85,2.89E-04
86,2.39E-04
87,2.37E-04
88,1.68E-04
89,1.29E-04
90,1.43E-04
91,1.87E-04
92,2.44E-04
93,2.12E-04
94,2.57E-04
95,1.89E-04
96,2.34E-04
97,6.70E-04
98,1.65E-03
99,3.84E-02
100,1.43E-01
